id,week,owner,priority,depends_on,status,target_day,task,dod,evidence
G-01,0,Founder,P0,,DONE,D1,Create board with 4 columns,All task IDs present,checkpoints.md
G-02,0,Founder,P0,G-01,BLOCKED,D1,Create 28-day calendar,Review slots fixed,checkpoints.md
G-03,0,Founder,P1,G-01,DONE,D1,Define SLA,Approved SLA doc,governance/sla_mvp.md
G-04,0,Freelance,P1,G-01,DONE,D1,Define env naming,Used across docs/logs,governance/env_naming.md
G-05,0,Founder,P1,G-01,DONE,D1,Define issue templates,4 templates available,governance/issue_templates.md
W1-01,1,Founder,P0,G-01,DONE,D2,Freeze topics taxonomy,8-12 stable slugs,specs/topics_v1.md
W1-02,1,Freelance,P0,W1-01,DONE,D2,Build feed registry,URL+topic+locale complete,specs/feed_registry_v1.csv
W1-03,1,Freelance,P0,W1-02,DONE,D2,Define ingestion policy,Refresh+retry+stale defined,specs/ingestion_policy_v1.md
W1-04,1,Freelance,P0,W1-02,DONE,D3,Implement RSS collector,Raw records persisted,logs+db
W1-05,1,Freelance,P0,W1-04,DONE,D3,Implement normalization,Mandatory fields validated,unit tests
W1-06,1,Freelance,P1,W1-05,DONE,D4,Implement canonical URL resolver,>=90 percent sample resolved,tracking/w1_06_canonical_qa_report.md
W1-07,1,Freelance,P0,W1-05,DONE,D4,Implement dedup,No high false positive rate,dedup report
W1-08,1,Founder,P0,W1-02,DONE,D4,Define source quality rules,Rules ready for runtime,specs/source_policy_v1.md
W1-09,1,Freelance,P0,W1-05,DONE,D5,Create ingestion data model,Tables and constraints valid,specs/data_model_mvp.sql
W1-10,1,Freelance,P1,W1-03,DONE,D5,Define stale fallback,Feeds can fail without outage,tracking/w1_10_chaos_note.md
W1-11,1,Founder,P0,W1-08,DONE,D5,Define attribution legal policy,Policy approved,specs/attribution_policy_v1.md
W1-12,1,Founder,P0,W1-01..W1-11,NOT_STARTED,D7,Week 1 checkpoint,Ingestion stable/checkpoint signed,tracking/checkpoints.md
W2-01,2,Founder,P0,W1-12,NOT_STARTED,D8,Define story template,Template approved,specs/story_template_v1.md
W2-02,2,Freelance,P0,W2-01,NOT_STARTED,D9,Implement key-point generation,3-5 key points per story,qa sample
W2-03,2,Freelance,P0,W2-01,NOT_STARTED,D9,Implement story rendering,Source attribution complete,staging urls
W2-04,2,Founder,P0,W2-01,NOT_STARTED,D9,Define quiz format,Spec approved,specs/quiz_spec_v1.md
W2-05,2,Freelance,P0,W2-04,NOT_STARTED,D10,Implement quiz pool generation,Pool for >=80 percent stories,coverage report
W2-06,2,Freelance,P0,W2-05,NOT_STARTED,D10,Implement GET /quiz,Returns randomized quiz,api tests
W2-07,2,Freelance,P0,W2-06,NOT_STARTED,D11,Implement POST /attempt,Returns score/pass/credits,api tests
W2-08,2,Freelance,P0,W2-03,NOT_STARTED,D11,Implement POST /comment,Spam blocked valid accepted,test cases
W2-09,2,Freelance,P0,W2-07+W2-08,NOT_STARTED,D12,Implement rewards ledger,Append-only entries with reason,db sample
W2-10,2,Freelance,P0,W2-09,NOT_STARTED,D12,Implement GET /balance,Balance and transactions returned,api tests
W2-11,2,Founder,P0,W2-09,NOT_STARTED,D12,Define reward policy,Policy versioned,specs/reward_policy_v1.md
W2-12,2,Freelance,P1,W2-03,NOT_STARTED,D13,Implement light auth,Stable sessions,auth qa
W2-13,2,Founder,P0,W2-01..W2-12,NOT_STARTED,D14,Week 2 checkpoint,End-to-end quiz->credit works,tracking/checkpoints.md
W3-01,3,Freelance,P0,W2-13,NOT_STARTED,D15,Implement rate limits,Limits active on core endpoints,load test
W3-02,3,Freelance,P0,W2-07,NOT_STARTED,D15,Implement attempt caps and cooldown,Violations blocked,api tests
W3-03,3,Freelance,P0,W2-09,NOT_STARTED,D16,Enforce one reward per story/account,No duplicate reward,conflict tests
W3-04,3,Freelance,P1,W2-11,NOT_STARTED,D16,Implement new user multiplier,7-day reduced rewards,qa scenario
W3-05,3,Freelance,P0,W3-01,NOT_STARTED,D17,Implement fraud signals,Signals with severity/state,db sample
W3-06,3,Founder,P0,W3-05,NOT_STARTED,D17,Define fraud review SOP,Runbook finalized,runbooks/antifraud_review_runbook_v1.md
W3-07,3,Freelance,P0,W3-06,NOT_STARTED,D18,Implement reward revoke,Ledger+balance updated,test revocation
W3-08,3,Freelance,P0,W2-10,NOT_STARTED,D18,Implement redemption catalog,2 rewards active,ui+api tests
W3-09,3,Freelance,P0,W3-08,NOT_STARTED,D19,Implement POST /redeem idempotent,No double spend,api tests
W3-10,3,Freelance,P0,W2-09+W3-05,NOT_STARTED,D19,Implement publisher dashboard,Core KPIs visible,dashboard screens
W3-11,3,Founder,P0,W3-10,NOT_STARTED,D20,Freeze KPI formula and thresholds,Spec signed,specs/kpi_spec_v1.md
W3-12,3,Founder,P0,W3-01..W3-11,NOT_STARTED,D21,Week 3 checkpoint,Dashboard+antifraud+redeem active,tracking/checkpoints.md
W4-01,4,Founder,P0,W3-12,NOT_STARTED,D22,Run 20 e2e scenarios,No blockers open,test report
W4-02,4,Freelance,P0,W3-12,NOT_STARTED,D23,Run load test,System handles MVP volume,perf report
W4-03,4,Founder,P0,W3-06,NOT_STARTED,D23,Run 7 antifraud simulations,Detection+mitigation verified,fraud test log
W4-04,4,Freelance,P1,W4-02,NOT_STARTED,D24,Harden observability,Alerts active,ops dashboard
W4-05,4,Founder,P0,W4-04,NOT_STARTED,D24,Define incident runbook,Runbook approved,runbooks/ops_runbook_v1.md
W4-06,4,Founder,P0,W4-01,NOT_STARTED,D25,Soft launch at 10-20 percent,48h stable pilot,pilot log
W4-07,4,Founder,P0,W4-06,NOT_STARTED,D26-D27,Full pilot run,Stable run and daily reporting,daily reports
W4-08,4,Founder,P0,W4-07,NOT_STARTED,D28,Compute final KPIs and evaluate gates,Decision memo created,tracking/decision_memo.md
W4-09,4,Founder,P1,W4-08,NOT_STARTED,D28,Postmortem and backlog v2,Top 10 prioritized actions,tracking/backlog_v2.md
W4-10,4,Founder,P0,W4-08,NOT_STARTED,D28,Formal closeout,All mandatory checks signed,tracking/checkpoints.md
W2-14,2,Freelance,P0,W1-09,NOT_STARTED,D14,Extend SQL schema for data revenue layer,New tables ready in data_model_mvp.sql,specs/data_model_mvp.sql
W2-15,2,Freelance,P0,W2-04,NOT_STARTED,D14,Add quiz question task types and campaign fields,quiz_questions spec updated,specs/data_model_mvp.sql
W2-16,2,Founder,P0,W2-14,NOT_STARTED,D14,Define pseudonymization and DPA export policy,Policy doc approved,specs/compliance_data_policy_v1.md
W2-17,2,Freelance,P0,W2-10,NOT_STARTED,D14,Extend API contract with analytics and voucher endpoints,api_contract includes analytics plus voucher,specs/api_contract_mvp.md
W3-13,3,Freelance,P0,W2-14,NOT_STARTED,D21,Implement reading sessions capture,reading_sessions rows created,db sample
W3-14,3,Freelance,P0,W2-14,NOT_STARTED,D21,Implement comprehension events and qa pair writes,comprehension_events and qa_pairs populated,db sample
W3-15,3,Freelance,P0,W2-15,NOT_STARTED,D21,Implement annotation task model and injection rules,annotation_tasks table and logic active,db plus test cases
W3-16,3,Freelance,P1,W3-14,NOT_STARTED,D21,Build dataset export sample parquet,first private dataset export generated,data export sample
